work_id,department,asset_type,work_type,route,season,criticality,days_overdue,failure_probability,asset_availability_impact,train_density,passenger_trains,goods_trains,historical_failures,last_maintenance_days,route_importance,dependency_count,crew_size,complexity,weather_risk,equipment_required,location_km,corridor_capacity_hours,train_conflict_count,preferred_window_hour,block_feasibility,priority_score_target,priority_class_target,risk_score_target,risk_class_target,duration_hours_actual
WR-100000,Engineering,Signal,Rail Fracture Inspection,LNL-KARJAT,Summer,1,9,0.17991473181819498,0.798239685501397,67,16,19,6,886,0.5135562344114961,3,3,0.5831191724995743,0.2376210759088322,5,226.35860844629974,7.720346229259713,4,2,0.37360045174331913,0.46762897564740363,Medium,0.41966427089790703,Medium,8.475177109203884
WR-100001,S&T,Rail,OHE Maintenance,PUNE-MMR,Summer,4,8,0.128128695308184,0.58694259632266,71,34,21,0,462,0.997332403425974,3,5,0.9061284348284747,0.11608826314046716,6,184.85069416634042,2.7876426256755424,2,2,0.9795701713919408,0.656761540018238,High,0.5058687209541318,Medium,8.267828706689482
WR-100002,S&T,Signal,BPAC Maintenance,PUNE-LNL,Summer,2,7,0.522081363557531,0.6577339223887868,48,24,3,2,275,0.5621038424456418,5,2,0.8430565711798677,0.8286679510093069,3,249.98880623045557,6.675388028716008,11,1,0.685402011961085,0.5162431951433821,Medium,0.5291543525912666,Medium,8.922154157649075
WR-100003,TRD,OHE,Rail Joint Renewal,PUNE-LNL,Monsoon,3,10,0.5817203619511225,0.6192805141382941,50,25,8,1,626,0.8732887143013582,4,3,0.44845118992175703,0.01914103725668992,5,28.76888811929959,5.8263218443437,8,22,0.5010510328775641,0.6120149920897837,High,0.6005250942604126,High,8.11920269366034
WR-100004,Engineering,OHE,Mast Foundation Inspection,PUNE-SOL,Winter,2,8,0.43558889903624354,0.11916686859789674,51,25,14,1,755,0.9262904119329086,2,5,0.9747433943432183,0.2798271154594998,1,121.58770335740238,4.944686548341884,16,1,0.4833398092696971,0.5008802916859527,Medium,0.4990614498561369,Medium,8.37136640452462
WR-100005,Engineering,Mast,Point Machine Maintenance,DD-PUNE,Monsoon,4,4,0.27033350735502415,0.4391203254144453,49,45,21,5,160,0.4820967263076319,0,8,0.22261995788370942,0.7807997089785231,6,14.751115940620757,5.320006384525938,4,2,0.5578476400823953,0.5526046322981197,Medium,0.4684634778137026,Medium,6.121855421251483
WR-100006,Engineering,BPAC,Rail Joint Renewal,KYN-PNVL,Monsoon,1,9,0.12154606745084859,0.9056918170054672,20,28,18,0,216,0.9422019567063219,2,7,0.5512047564860182,0.7913326621568161,3,171.7937105869795,3.7201006176544382,4,0,0.8130038737392786,0.46293724965085487,Medium,0.4419670137676753,Medium,7.0477995333304575
WR-100007,S&T,Rail,Track Geometry Correction,PUNE-LNL,Monsoon,3,10,0.12853627616415544,0.6425043542157398,51,57,5,2,843,0.847061664197823,1,2,0.496726214749191,0.8460051792049941,1,110.96987042592532,5.320619051204741,3,4,0.874996725942939,0.5420391117074701,Medium,0.4481671493389249,Medium,8.620142020304648
WR-100008,TRD,Track,Signal Cable Inspection,DD-PUNE,Summer,3,5,0.43733840532300555,0.42569457921312964,42,48,12,3,287,0.6029985287186455,1,9,0.5418993955925955,0.705203382035003,4,69.16609483475456,5.964972160338727,18,2,0.364673036705234,0.5335410395974609,Medium,0.49276317248813195,Medium,6.4409321460113045
WR-100009,TRD,OHE,Mast Foundation Inspection,PUNE-LNL,Monsoon,4,9,0.5487369468453226,0.26421333622478405,73,54,5,6,644,0.859627465806125,6,5,0.8377343757189111,0.25814696977178686,4,174.72574053657735,3.79304826687539,0,4,0.5550348899630635,0.6314441240527235,High,0.6095706925856516,High,8.877863194072132
WR-100010,Engineering,Turnout,BPAC Maintenance,PUNE-SOL,Summer,2,9,0.059458167968414646,0.27906088163569,98,10,4,11,200,0.49943227053923206,5,3,0.7161066807323074,0.3397788652670204,4,100.62700780534165,6.227181395547409,12,23,0.5157103225004918,0.4166716719477709,Medium,0.3312158125842333,Medium,9.55853923215334
WR-100011,S&T,BPAC,Rail Fracture Inspection,KYN-PNVL,Monsoon,4,8,0.45972820097652445,0.586347187335707,72,32,5,1,591,0.6428663506902591,3,5,0.38496736001099585,0.6441097458475695,6,205.21221427162163,3.4352222701255783,8,22,0.36498996602452494,0.6553890393574818,High,0.5223860995014452,Medium,7.812643530647973
WR-100012,S&T,Point Machine,Track Geometry Correction,DD-PUNE,Monsoon,2,12,0.3665450604780924,0.8521982855162843,90,13,21,3,854,0.3999212729621496,1,11,0.4300527954106338,0.36924989581420076,6,36.19477257158479,5.776226670619568,9,22,0.3940407281473286,0.5222062808798403,Medium,0.4792799250173931,Medium,9.455133164930603
WR-100013,Engineering,Rail,Signal Cable Inspection,KYN-PNVL,Monsoon,1,6,0.2114936063254292,0.3573166126081355,66,63,8,1,780,0.668635393799927,1,8,0.5423035076797337,0.36039470846038146,4,136.08213296601838,4.801757890313249,10,3,0.9671926885311506,0.37855336110289106,Medium,0.3170387328676059,Medium,7.1155842437768095
WR-100014,Engineering,BPAC,BPAC Maintenance,KYN-PNVL,Winter,3,8,0.5531079010442131,0.3955976742396975,22,54,23,3,33,0.6524338937264089,1,12,0.1333143020880532,0.16559084274532843,5,242.64030996639795,2.2876554065551593,11,4,0.8488973394066929,0.500486325876606,Medium,0.5283757633098438,Medium,6.234259197752055
WR-100015,Engineering,Signal,BPAC Maintenance,PUNE-MMR,Winter,4,6,0.2332460984393526,0.44409322417811986,66,53,16,2,35,0.5660893764286217,5,12,0.6493066494968692,0.3678165728701269,5,240.58486167789917,6.145902615459622,18,3,0.5750529944654286,0.5973339313869286,Medium,0.488175171918165,Medium,7.28586501655303
WR-100016,Engineering,Turnout,OHE Maintenance,KYN-PNVL,Winter,3,10,0.3419308813352651,0.7173594749102993,87,20,10,1,814,0.3750750177149006,3,12,0.3679938066474866,0.827320930069708,1,36.94641553811254,3.9754765089680193,15,4,0.6603772262757595,0.5757040844126969,Medium,0.4953993980797703,Medium,7.731219358793891
WR-100017,TRD,Rail,Mast Foundation Inspection,KYN-PNVL,Monsoon,2,5,0.34745529548645765,0.27144930034453674,24,42,22,1,178,0.543177587339553,1,3,0.744624693251758,0.6564313667201844,5,93.20870188200492,4.8665308764656565,10,5,0.5419101654588919,0.3973991079853858,Medium,0.38328904695734023,Medium,6.9569703309429585
WR-100018,TRD,Signal,Point Machine Maintenance,KYN-PNVL,Monsoon,4,11,0.24052682641433212,0.25670370010495874,75,47,19,3,680,0.6407348171481937,3,11,0.5149345917574913,0.22593630485749272,3,24.329623887165585,7.277658738953761,3,23,0.658207173382352,0.5951304481387013,Medium,0.42715385489596885,Medium,7.203228108947006
WR-100019,Engineering,Point Machine,Signal Cable Inspection,LNL-KARJAT,Summer,2,6,0.4267095380469518,0.6601755532883425,88,12,18,1,615,0.503654414454457,2,12,0.9157980460325609,0.7782473172753096,5,104.77383742194718,4.216792823363054,15,0,0.41836355578899137,0.5447753500451286,Medium,0.5189952030631957,Medium,8.231576809688681
WR-100020,TRD,Signal,OHE Insulator Replacement,PUNE-MMR,Summer,2,6,0.2434078784969246,0.4954746721666737,84,50,17,1,354,0.7297682508975617,0,3,0.3630117995994251,0.501235838603811,1,233.33487757325065,5.83388684321961,12,0,0.606568663612116,0.5281049027147564,Medium,0.34460583890039664,Medium,6.097283339682998
